"BLUP","Genotype"
3.77438560871541,"ld10_10219"
3.7742834179298,"a96_691030"
3.77117129475379,"a98_980044"
3.76799726380731,"hm9092"
3.7679972638073,"c1850"
3.76784895923313,"hs0_3259"
3.75727944155265,"u94_3412"
3.74710333005152,"sd_ld_05_16137"
3.7439117780109,"ld13_6678"
3.74348548405648,"u91_3610"
3.73495394472415,"hs0_3244"
3.72928159813266,"hf97_166"
3.72323013533713,"lg98_1445"
3.717596820059,"ld09_30224"
3.71435754719214,"lg07_2309"
3.69930690194646,"a94_774018"
3.6976979024857,"u11_616111"
3.68613261285378,"c1875"
3.67397781443351,"ln86_3357"
3.67331149250817,"hm11_w192"
3.67096904782783,"hs8_3657"
3.66971811577565,"hc85_616"
3.6684295513113,"ux1347_5"
3.66281475439262,"a95_485019"
3.66234095492083,"c1870"
3.66026477800452,"a07_527020"
3.65786373588249,"a07_626002"
3.64357040366132,"orc_9608"
3.62808459509932,"u13_609144"
3.62628695711881,"ln90_3364"
3.62556697072138,"a00_912033"
3.62143614706229,"u16_609052"
3.59966932890255,"sl89_314"
3.59039801082845,"ln89_344"
3.58999041200294,"a06_912036"
3.58780886187937,"ln94_3122"
3.58767537783376,"u05_710023"
3.5863486270703,"ia3014"
3.5835579827963,"k07_1713"
3.58144387701557,"e00178"
3.57635005154846,"a06_812022"
3.5744453291679,"ld08_2355"
3.56174167646461,"u05_734013"
3.55185669433854,"hm8597"
3.54623720913518,"cr15_1385"
3.54543367077072,"ln89_4079"
3.53758385767027,"u00_429029"
3.53067522093996,"k1347"
3.52095404847868,"lg01_4918"
3.51128646870088,"u16_323177"
3.50787275549309,"ia3004"
3.49564449618938,"e17283"
3.49286385712515,"hs1_6811"
3.49239892438809,"thorne"
3.49114922856965,"ss92_9047"
